Student_ID,Parent_Education_Level,Family_Income_Level,Internet_Access_at_Home,Stress_Level (1-10)
S1385,Bachelor's,High,No,9
S1386,High School,High,No,3
S1387,Bachelor's,High,No,8
S1388,Master's,High,Yes,8
S1389,High School,Low,Yes,3
S1390,Master's,High,Yes,7
S1391,None,Medium,Yes,3
S1392,Master's,Low,Yes,2
S1393,High School,Medium,No,7
S1394,Bachelor's,High,Yes,8
S1395,Master's,Low,Yes,9
S1396,Bachelor's,High,No,1
S1397,Master's,Low,Yes,9
S1398,PhD,Low,Yes,2
S1399,Master's,High,No,3
S1400,PhD,High,No,8
S1401,Master's,Low,Yes,2
S1402,Master's,Medium,No,7
S1403,PhD,Low,Yes,8
S1404,None,High,No,10
S1405,Bachelor's,High,Yes,5
S1406,High School,Medium,No,3
S1407,Master's,Medium,No,9
S1408,High School,Low,Yes,8
S1409,None,Low,Yes,3
S1410,Master's,Medium,No,8
S1411,PhD,Low,Yes,3
S1412,PhD,High,Yes,6
S1413,Master's,Low,Yes,1
S1414,PhD,Low,No,4
S1415,None,Medium,Yes,8
S1416,Bachelor's,High,No,6
S1417,Bachelor's,Low,Yes,5
S1418,None,Low,Yes,6
S1419,PhD,High,Yes,7
S1420,Bachelor's,High,No,1
S1421,PhD,High,No,3
S1422,PhD,Low,Yes,1
S1423,High School,Medium,No,9
S1424,Bachelor's,Low,Yes,4
S1425,PhD,Low,No,2
S1426,High School,High,Yes,5
S1427,None,High,No,2
S1428,Bachelor's,Low,Yes,7
S1429,None,High,No,4
S1430,None,Low,Yes,5
S1431,Master's,High,Yes,9
S1432,Bachelor's,Medium,Yes,2
S1433,None,Low,No,5
S1434,None,Low,Yes,4
S1435,None,High,No,3
S1436,PhD,Low,Yes,1
S1437,Bachelor's,Low,No,6
S1438,Bachelor's,Low,Yes,7
S1439,Bachelor's,High,No,1
S1440,Bachelor's,High,Yes,6
S1441,Bachelor's,Low,Yes,1
S1442,None,Medium,Yes,6
S1443,High School,Medium,No,4
S1444,Master's,Low,Yes,6
S1445,Bachelor's,Medium,No,1
S1446,PhD,Low,No,1
S1447,High School,High,No,3
S1448,PhD,Medium,Yes,6
S1449,None,Medium,No,3
S1450,Master's,Low,No,7
S1451,None,Low,No,4
S1452,None,High,No,9
S1453,Bachelor's,Medium,Yes,7
S1454,PhD,Medium,Yes,4
S1455,Bachelor's,Medium,No,9
S1456,None,Medium,No,5
S1457,Master's,Low,No,4
S1458,High School,High,No,2
S1459,None,Medium,No,9
S1460,None,High,No,10
S1461,None,Low,No,8
S1462,PhD,Low,No,6
S1463,High School,Low,Yes,1
S1464,Master's,High,No,8
S1465,None,High,No,4
S1466,High School,Medium,No,1
S1467,None,High,Yes,3
S1468,High School,High,Yes,6
S1469,High School,Medium,No,2
S1470,PhD,Low,No,8
S1471,PhD,Low,Yes,5
S1472,High School,High,No,5
S1473,Bachelor's,Medium,No,1
S1474,None,High,Yes,9
S1475,PhD,High,Yes,2
S1476,High School,Low,Yes,9
S1477,Bachelor's,Medium,No,10
S1478,High School,High,No,10
S1479,Master's,High,Yes,1
S1480,High School,High,No,10
S1481,Master's,Low,No,8
S1482,PhD,Low,No,3
S1483,PhD,High,Yes,3
S1484,High School,Medium,Yes,7
S1485,PhD,Low,Yes,7
S1486,High School,High,Yes,7
S1487,High School,Low,No,7
S1488,Master's,Low,Yes,3
S1489,None,High,Yes,8
S1490,High School,Low,No,1
S1491,None,Low,No,3
S1492,Bachelor's,High,Yes,8
S1493,PhD,Low,Yes,2
S1494,Bachelor's,High,Yes,7
S1495,Bachelor's,High,No,4
S1496,High School,High,Yes,6
S1497,Bachelor's,Low,Yes,9
S1498,High School,Medium,Yes,8
S1499,PhD,Medium,No,4
S1500,PhD,Low,Yes,7
S1501,Bachelor's,Low,No,3
S1502,High School,High,No,9
S1503,Master's,Medium,No,2
S1504,Master's,Medium,No,6
S1505,None,Low,Yes,5
S1506,None,High,No,4
S1507,None,Low,Yes,2
S1508,Bachelor's,Low,No,9
S1509,High School,Medium,No,5
S1510,None,Low,No,1
S1511,High School,Medium,No,5
S1512,Bachelor's,Low,Yes,7
S1513,High School,Medium,Yes,3
S1514,High School,Medium,No,7
S1515,Bachelor's,Medium,No,6
S1516,Master's,Medium,Yes,7
S1517,High School,High,No,9
S1518,High School,Medium,Yes,2
S1519,PhD,High,Yes,2
S1520,PhD,High,No,1
S1521,None,Low,No,2
S1522,None,Medium,Yes,3
S1523,Bachelor's,Low,No,7
S1524,Bachelor's,Low,Yes,3
S1525,PhD,Medium,No,8
S1526,PhD,Medium,No,3
S1527,None,Low,Yes,2
S1528,PhD,Low,Yes,10
S1529,High School,Medium,Yes,10
S1530,High School,High,No,4
S1531,PhD,High,Yes,4
S1532,Bachelor's,Low,No,5
S1533,None,High,Yes,5
S1534,High School,Low,No,3
S1535,Bachelor's,Medium,Yes,1
S1536,PhD,Low,Yes,8
S1537,None,High,Yes,10
S1538,None,High,No,2
S1539,Bachelor's,High,Yes,5
S1540,Bachelor's,Medium,No,2
S1541,Bachelor's,Medium,No,6
S1542,PhD,Medium,Yes,7
S1543,PhD,High,Yes,7
S1544,Bachelor's,Medium,Yes,1
S1545,PhD,Medium,No,9
S1546,None,Medium,No,1
S1547,Master's,Low,Yes,8
S1548,PhD,High,No,1
S1549,None,High,Yes,3
S1550,Master's,High,No,10
S1551,Master's,Medium,Yes,4
S1552,Bachelor's,Medium,No,9
S1553,Bachelor's,Medium,No,8
S1554,None,Low,Yes,5
S1555,Bachelor's,Low,No,4
S1556,Master's,Low,No,10
S1557,None,Medium,Yes,9
S1558,None,Medium,No,1
S1559,None,High,No,6
S1560,Bachelor's,Low,No,8
S1561,Bachelor's,Medium,Yes,7
S1562,Bachelor's,Low,No,8
S1563,PhD,Low,Yes,3
S1564,PhD,Medium,No,5
S1565,PhD,Low,Yes,1
S1566,None,Low,Yes,8
S1567,Bachelor's,Medium,No,2
S1568,PhD,Medium,No,10
S1569,None,Low,No,3
S1570,Master's,High,No,10
S1571,PhD,High,Yes,2
S1572,None,High,Yes,1
S1573,High School,Medium,Yes,2
S1574,PhD,High,Yes,10
S1575,Master's,Medium,Yes,2
S1576,None,Low,No,6
S1577,PhD,Medium,No,4
S1578,PhD,High,No,10
S1579,High School,High,No,4
S1580,None,High,Yes,1
S1581,None,High,No,10
S1582,None,High,No,2
S1583,Bachelor's,Low,No,3
S1584,High School,Low,Yes,9
S1585,None,Low,Yes,5
S1586,High School,Low,No,4
S1587,Bachelor's,Medium,Yes,10
S1588,None,High,No,3
S1589,High School,High,Yes,10
S1590,High School,Low,No,1
S1591,Bachelor's,Low,Yes,1
S1592,High School,Low,Yes,10
S1593,Bachelor's,Medium,No,8
S1594,PhD,Medium,Yes,10
S1595,High School,Low,Yes,9
S1596,Bachelor's,High,No,3
S1597,Master's,Medium,No,9
S1598,None,Low,Yes,8
S1599,None,Low,No,1
S1600,None,Low,Yes,6
S1601,Bachelor's,High,Yes,9
S1602,Bachelor's,Medium,No,4
S1603,None,High,No,9
S1604,Bachelor's,Medium,Yes,2
S1605,High School,High,No,10
S1606,High School,Medium,No,9
S1607,High School,High,No,1
S1608,PhD,Low,No,4
S1609,None,High,No,5
S1610,Master's,Low,No,2
S1611,None,High,Yes,6
S1612,High School,Low,Yes,8
S1613,None,Low,No,2
S1614,PhD,High,No,9
S1615,High School,High,Yes,2
S1616,PhD,High,Yes,1
S1617,PhD,High,No,6
S1618,PhD,High,No,5
S1619,High School,Low,No,10
S1620,PhD,Low,No,3
S1621,PhD,Medium,No,3
S1622,Master's,Medium,Yes,8
S1623,None,Medium,Yes,4
S1624,Master's,High,Yes,1
S1625,None,High,No,4
S1626,High School,High,No,6
S1627,Master's,High,Yes,2
S1628,Bachelor's,Low,Yes,7
S1629,High School,Low,Yes,1
S1630,High School,Low,No,10
S1631,None,Medium,Yes,9
S1632,None,Medium,Yes,2
S1633,PhD,Low,Yes,9
S1634,Bachelor's,Low,No,1
S1635,High School,Low,Yes,4
S1636,High School,Low,No,5
S1637,Master's,Low,Yes,8
S1638,None,Medium,Yes,5
S1639,Master's,High,Yes,1
S1640,None,High,Yes,1
S1641,None,Low,No,2
S1642,Master's,High,Yes,9
S1643,Master's,Low,No,1
S1644,Master's,Low,No,3
S1645,None,High,Yes,8
S1646,Bachelor's,High,No,1
S1647,Master's,High,No,4
S1648,None,Low,No,8
S1649,Master's,Medium,Yes,6
S1650,Bachelor's,Low,No,6
S1651,Bachelor's,High,No,1
S1652,PhD,Low,No,7
S1653,PhD,Medium,Yes,1
S1654,Bachelor's,Medium,Yes,3
S1655,Master's,Low,Yes,1
S1656,PhD,Low,No,8
S1657,None,Medium,No,4
S1658,Bachelor's,High,Yes,5
S1659,Master's,High,No,1
S1660,None,Low,Yes,1
S1661,Bachelor's,High,Yes,10
S1662,Bachelor's,High,Yes,1
S1663,Master's,Low,Yes,3
S1664,Master's,High,No,6
S1665,High School,Medium,Yes,5
S1666,Master's,Low,No,10
S1667,None,Medium,No,7
S1668,PhD,High,Yes,1
S1669,Master's,Medium,No,8
S1670,Master's,Medium,No,5
S1671,PhD,Medium,No,6
S1672,PhD,Medium,No,2
S1673,Bachelor's,Medium,No,9
S1674,Bachelor's,Low,Yes,3
S1675,PhD,Low,No,5
S1676,PhD,Medium,Yes,10
S1677,PhD,Medium,No,8
S1678,None,High,No,1
S1679,High School,Low,Yes,4
S1680,None,Low,No,5
S1681,High School,High,Yes,6
S1682,Bachelor's,High,No,3
S1683,PhD,Low,Yes,4
S1684,None,High,No,3
S1685,PhD,Low,Yes,4
S1686,PhD,Medium,Yes,7
S1687,PhD,Low,Yes,9
S1688,None,High,Yes,9
S1689,PhD,Low,Yes,5
S1690,Bachelor's,Medium,Yes,6
S1691,High School,Medium,No,9
S1692,Master's,Low,No,4
S1693,Bachelor's,Medium,Yes,7
S1694,High School,Medium,Yes,3
S1695,Master's,Low,No,9
S1696,PhD,Medium,No,9
S1697,Bachelor's,Low,No,10
S1698,Master's,Medium,Yes,5
S1699,Master's,High,Yes,4
S1700,Master's,Low,Yes,10
S1701,PhD,High,No,10
S1702,High School,High,Yes,9
S1703,High School,High,Yes,5
S1704,Bachelor's,Medium,Yes,1
S1705,PhD,Low,No,2
S1706,High School,Low,No,10
S1707,Bachelor's,High,No,7
S1708,High School,High,Yes,3
S1709,None,Medium,No,1
S1710,PhD,Low,No,9
S1711,None,Low,Yes,4
S1712,High School,Medium,No,3
S1713,High School,Low,Yes,5
S1714,None,High,Yes,1
S1715,PhD,High,Yes,1
S1716,Bachelor's,Low,Yes,1
S1717,Master's,High,No,7
S1718,None,Low,Yes,7
S1719,PhD,Low,No,9
S1720,PhD,Medium,No,5
S1721,Master's,Medium,No,2
S1722,Bachelor's,Low,Yes,9
S1723,Bachelor's,High,Yes,4
S1724,High School,Medium,Yes,5
S1725,High School,High,No,1
S1726,None,Low,Yes,2
S1727,Bachelor's,High,Yes,8
S1728,None,Low,Yes,2
S1729,High School,High,No,8
S1730,None,Low,Yes,1
S1731,Master's,Medium,No,9
S1732,None,Medium,Yes,9
S1733,High School,High,Yes,9
S1734,High School,High,No,6
S1735,Master's,Medium,No,2
S1736,Master's,Medium,Yes,1
S1737,Bachelor's,Low,No,6
S1738,Master's,Medium,No,4
S1739,Master's,Low,Yes,8
S1740,Bachelor's,Medium,No,8
S1741,Master's,Low,No,2
S1742,PhD,Low,No,2
S1743,PhD,Low,Yes,4
S1744,PhD,High,Yes,9
S1745,Master's,Low,Yes,6
S1746,High School,Medium,Yes,7
S1747,High School,Medium,Yes,3
S1748,Bachelor's,Medium,Yes,7
S1749,High School,Low,Yes,3
S1750,High School,High,Yes,2
S1751,Bachelor's,Low,Yes,2
S1752,PhD,High,Yes,9
S1753,Bachelor's,High,No,7
S1754,High School,Medium,No,5
S1755,High School,Medium,Yes,3
S1756,Bachelor's,Medium,No,8
S1757,Master's,Low,Yes,2
S1758,High School,Medium,No,3
S1759,High School,Medium,Yes,5
S1760,Bachelor's,Low,Yes,1
S1761,High School,Low,No,6
S1762,Master's,High,No,2
S1763,Master's,High,No,7
S1764,Bachelor's,Low,Yes,7
S1765,None,Low,Yes,1
S1766,PhD,High,No,4
S1767,Master's,Medium,Yes,1
S1768,Master's,High,No,10
S1769,PhD,Medium,Yes,7
S1770,Bachelor's,High,No,5
S1771,High School,Medium,Yes,8
S1772,Bachelor's,High,Yes,1
S1773,None,Medium,Yes,10
S1774,None,High,No,4
S1775,PhD,Low,No,9
S1776,None,High,No,10
S1777,None,Low,No,1
S1778,PhD,High,Yes,3
S1779,PhD,Low,No,2
S1780,PhD,High,No,9
S1781,PhD,High,Yes,10
S1782,PhD,Low,Yes,5
S1783,Master's,Low,No,6
S1784,High School,Low,No,8
S1785,PhD,Medium,No,9
S1786,High School,High,Yes,8
S1787,None,Medium,Yes,8
S1788,Master's,Medium,No,1
S1789,PhD,Medium,No,10
S1790,Master's,Medium,No,1
S1791,Bachelor's,Low,No,8
S1792,High School,Low,Yes,1
S1793,PhD,Medium,Yes,5
S1794,High School,Medium,No,4
S1795,High School,Low,No,5
S1796,Bachelor's,Low,Yes,8
S1797,High School,Medium,Yes,10
S1798,None,Medium,No,8
S1799,High School,Low,Yes,4
S1800,Bachelor's,Low,Yes,8
S1801,Bachelor's,High,Yes,10
S1802,PhD,High,Yes,5
S1803,None,High,No,4
S1804,High School,High,Yes,7
S1805,Bachelor's,Medium,No,3
S1806,Bachelor's,Low,Yes,5
S1807,High School,Medium,Yes,5
S1808,High School,High,No,5
S1809,PhD,High,Yes,2
S1810,PhD,Medium,No,10
S1811,None,Medium,No,7
S1812,PhD,Low,Yes,10
S1813,PhD,High,No,7
S1814,Master's,High,No,8
S1815,High School,Medium,Yes,7
S1816,PhD,Low,No,1
S1817,Master's,Medium,Yes,9
S1818,Master's,Medium,No,4
S1819,PhD,Medium,No,1
S1820,Bachelor's,High,Yes,10
S1821,PhD,Low,No,2
S1822,PhD,Medium,Yes,8
S1823,High School,Medium,Yes,8
S1824,Bachelor's,Low,No,9
S1825,None,High,No,9
S1826,PhD,Medium,Yes,10
S1827,PhD,Medium,Yes,8
S1828,High School,High,No,4
S1829,None,High,No,10
S1830,Master's,High,Yes,7
S1831,Bachelor's,Medium,No,9
S1832,None,High,Yes,6
S1833,PhD,Medium,No,6
S1834,Master's,High,Yes,1
S1835,High School,Medium,No,10
S1836,PhD,High,No,9
S1837,High School,Medium,No,2
S1838,Bachelor's,Low,Yes,3
S1839,High School,High,No,5
S1840,None,High,Yes,5
S1841,None,Low,Yes,5
S1842,Bachelor's,Medium,No,4
S1843,Bachelor's,Low,No,5
S1844,Bachelor's,Low,No,3
S1845,None,Medium,No,1
S1846,PhD,High,No,7
S1847,None,High,Yes,10
S1848,High School,High,No,2
S1849,Bachelor's,Low,Yes,8
S1850,Master's,Medium,No,1
S1851,None,High,Yes,6
S1852,Master's,Medium,No,1
S1853,PhD,Low,Yes,8
S1854,None,High,No,2
S1855,PhD,Low,No,8
S1856,PhD,Medium,No,4
S1857,None,High,No,3
S1858,None,High,Yes,2
S1859,PhD,High,No,4
S1860,Bachelor's,High,No,10
S1861,None,Low,No,10
S1862,PhD,Low,No,2
S1863,High School,Medium,Yes,3
S1864,Master's,High,Yes,2
S1865,High School,Medium,No,2
S1866,None,Low,Yes,10
S1867,None,Medium,No,9
S1868,None,Low,No,1
S1869,None,High,Yes,3
