Student_ID,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Total_Score,Grade
S1071,74.84,89.31,61.08,86.43,67.39,75.0805,C
S1072,81.52,59.57,57.18,74.4,57.31,61.5855,D
S1073,93.41,66.64,98.93,72.95,53.42,72.752,C
S1074,92.45,86.34,52.26,59.81,66.09,73.3345,C
S1075,98.68,77.52,73.39,68.06,72.93,76.8655,C
S1076,70.72,58.48,71.25,59.09,68.09,66.8915,D
S1077,89.85,63.17,68,86.77,50.7,67.272,D
S1078,65.64,58.35,89.1,59.95,78.95,70.4535,C
S1079,65.34,75.69,87.27,80.84,57.24,71.6,C
S1080,55.2,59.96,95.26,63.98,60.55,65.122,D
S1081,89.09,83.54,69.77,82.85,56.04,72.416,C
S1082,99.15,74.79,78.21,77.02,76.02,77.5895,C
S1083,55.38,48.74,94.62,71.17,54.76,62.645,D
S1084,43.37,58.62,99.69,83.65,62.82,63.94,D
S1085,88.93,53.29,98.46,70.79,72.59,72.657,C
S1086,77.21,63.42,85.89,91.07,58.39,69.629,D
S1087,97.58,70.96,57.16,86.48,72.31,74.067,C
S1088,55.13,70.41,51.16,77.03,67.14,64.651,D
S1089,44.26,85.27,91.26,93.85,93.03,81.4695,B
S1090,69.55,51.35,92.05,91.44,89.75,74.4315,C
S1091,45.13,96.79,87.32,76.59,99.64,85.901,B
S1092,55.71,60.57,64,53.42,76.45,64.666,D
S1093,47.56,58.01,81.99,78.3,78.77,69.686,D
S1094,53.45,81.11,65.81,67.76,97.33,75.5215,C
S1095,46.37,88.33,72.53,77.01,69.98,71.7975,C
S1096,97.23,62.71,69.12,82.36,77.78,75.77,C
S1097,56.71,84.81,95.68,82.24,68.95,74.885,C
S1098,66.63,93.02,61.71,83.68,77.29,78.121,C
S1099,93.92,86.01,78.88,83.96,54.04,72.0455,C
S1100,80.64,42.05,68.05,55.46,89.19,68.094,D
S1101,77.08,89.64,83.15,59.59,99.26,85.2515,B
S1102,82.33,86.47,78.23,81.53,53.29,72.5115,C
S1103,89.73,80.16,96.2,70.41,90.05,85.1355,B
S1104,92.66,85.6,55.08,88.14,62.09,71.837,C
S1105,78.56,98.77,61.03,56.25,59.88,72.645,C
S1106,93.4,65.87,88.32,59.58,84.67,76.7645,C
S1107,72.12,44.03,68.44,77.92,52.21,57.8065,F
S1108,56.64,67.65,58.29,75.04,73.16,65.269,D
S1109,92.8,42.79,75.17,63.32,50.07,59.616,F
S1110,72.49,57.66,82.61,70.42,77.72,71.148,C
S1111,94.37,75.21,52.24,51.75,73.1,72.089,C
S1112,42.41,58.58,64.58,51.85,95.77,67.0245,D
S1113,63.85,81.12,90.47,54.75,86.01,76.321,C
S1114,96.87,89.32,76.01,78.84,56.3,75.476,C
S1115,54.98,65.23,51.77,93.19,67.73,65.403,D
S1116,96.49,94.01,64.1,63.01,96.58,84.601,B
S1117,97.23,44.79,81.96,51.7,86.27,71.197,C
S1118,92.93,90.41,59.97,85.43,79.71,80.8085,B
S1119,73.82,89.71,91.37,92.77,77.95,81.338,B
S1120,78.82,59.32,83.83,56.91,69.9,66.9335,D
S1121,92.18,57.92,73.57,69.29,79.26,70.7495,C
S1122,86.55,58.31,95.78,57.94,88.58,76.06,C
S1123,77.81,88.68,69.59,55.32,56.38,66.966,D
S1124,98.94,89.9,61.75,82.41,98.49,87.2815,B
S1125,81.14,59.78,83.07,98.38,61.97,68.8855,D
S1126,98.53,75.56,78.66,83.91,72.39,77.4615,C
S1127,43.44,48.34,66.76,99.24,51.14,55.226,F
S1128,48.34,68.13,67.18,71.72,77.52,67.9385,D
S1129,67.09,99.93,69.91,94.89,69.09,79.9985,C
S1130,63.09,49.53,64.56,60.25,62.49,59.467,F
S1131,86.96,96.85,85.51,55.9,99.28,88.172,B
S1132,49.64,89.46,82.57,85.13,71.41,75.4775,C
S1133,98.57,98.33,72.04,68.57,70.71,78.394,C
S1134,58.9,50.77,69.89,65.88,73.16,61.162,D
S1135,65.74,52.81,68.25,83.56,55.81,58.875,F
S1136,56.48,41.01,64.17,66.67,69.65,56.402,F
S1137,74.76,83.48,54.28,78.63,66.82,69.435,D
S1138,43.52,78.65,63.41,64.97,73.26,66.837,D
S1139,48.98,50.68,66.06,89.19,92.83,67.269,D
S1140,84.75,87.47,77.38,65.62,59.64,75.316,C
S1141,51.19,57.95,88.69,76.75,80.39,71.5315,C
S1142,54.13,48.1,69.79,51.16,51.88,56.153,F
S1143,87.58,65.35,97.24,89.59,65.84,72.9865,C
S1144,45.6,45.46,91.37,81.02,73.63,66.3565,D
S1145,66.25,55.79,99.24,59.61,53.71,64.865,D
S1146,41.38,62.28,93.81,60.77,77.2,69.5955,D
S1147,60.81,91.11,80.84,63.12,65.52,72.633,C
S1148,81.94,87.55,79.92,78.83,99.64,87.8815,B
S1149,45.41,66.57,56.48,77.42,81.55,64.388,D
S1150,93.3,83.47,86.12,63.69,62.21,73.1925,C
S1151,94.57,74.12,80.01,84.7,55.13,70.321,C
S1152,46.3,60.45,75.35,94.45,52.04,62.992,D
S1153,99.44,83.55,84.66,52.18,54.54,70.3875,C
S1154,57.85,81.01,72.2,70.86,84,72.546,C
S1155,45.05,77.15,76.19,79.68,92.75,77.9165,C
S1156,40.3,77.08,69.92,79.32,57.84,61.622,D
S1157,64.51,80.98,85.87,50.98,70.11,73.283,C
S1158,77.79,63.07,93.83,60.53,67.71,71.8215,C
S1159,59.93,92.14,92.04,53.09,82.23,76.0085,C
S1160,90.2,49.74,89.3,78.45,59.13,65.054,D
S1161,83,93.03,50.69,82.27,97.67,83.509,B
S1162,61.01,60.54,95.59,57.99,86.43,75.338,C
S1163,84.06,47.5,63.74,66.65,97.75,74.43,C
S1164,96.43,76,94.4,66.49,63.87,74.9845,C
S1165,45.59,62.56,59.85,90.99,79.39,66.302,D
S1166,58.37,88.93,71.98,59.73,86.61,75.681,C
S1167,67.8,65.85,87.47,77.42,85.55,76.83,C
S1168,69.88,80.11,82.01,89.15,51.07,68.752,D
S1169,72.53,58.5,70.8,91.48,99.91,75.9855,C
S1170,58.04,52.57,83.93,83.33,96.4,75.426,C
S1171,80.04,63.28,77.45,64.98,55.99,65.0285,D
S1172,78.71,76.41,63.79,91.15,77.18,73.1315,C
S1173,74.67,79.42,82.32,87.11,65.73,75.7835,C
S1174,46.83,74.69,60.21,85.22,93.94,74.3575,C
S1175,68.62,99.28,84.7,53.37,84.88,81.064,B
S1176,61.37,81.47,50.16,52.16,61.18,64.032,D
S1177,69.46,95.89,77.44,84.77,51.69,72.5165,C
S1178,95.31,47.08,70.05,97.24,64.59,68.915,D
S1179,68.83,43.68,65.16,88.69,51.91,59.7955,F
S1180,40.84,58.66,75.79,91.57,57.07,61.5075,D
S1181,66.33,48.2,82.27,77.25,81.81,69.908,D
S1182,89.24,71.55,98.27,65.23,87.25,81.782,B
S1183,86.8,71.14,91.65,83.89,73.4,77.6165,C
S1184,70.8,74.5,85.86,85.6,80.01,75.547,C
S1185,54.99,84.71,73.95,83.77,57.79,67.9125,D
S1186,67.91,98.28,69.61,97.34,65.84,78.149,C
S1187,73.82,92.7,51.63,68.36,85.64,76.6455,C
S1188,99.99,47.1,67.95,51.98,68.24,64.666,D
S1189,78.65,60.31,92.42,95.42,67.44,74.307,C
S1190,81.66,55.35,69.2,58.02,59.7,60.2085,D
S1191,69.49,50.61,73.08,84.87,79.74,69.842,D
S1192,61.27,72.68,63.59,93.66,90.48,75.854,C
S1193,88.78,73.2,63.71,65.51,73.47,71.6505,C
S1194,69.7,53.63,53.09,91.52,55.78,59.417,F
S1195,99.68,82.71,80.69,66.6,91.92,82.834,B
S1196,67.43,83.97,72.4,89.71,53.57,68.679,D
S1197,44.08,41.26,80.3,53.49,73.59,58.353,F
S1198,80.95,63.75,77.34,82.76,63.05,69.057,D
S1199,42.8,93.41,89.94,83.86,96.82,84.0555,B
S1200,55.03,71.22,87.55,74.57,86.88,74.983,C
S1201,61.22,60.86,88.57,84.35,78.32,73.5945,C
S1202,84.37,55.22,74.96,96.16,83.39,75.5375,C
S1203,69.65,54.6,67.69,86.69,76.64,66.862,D
S1204,41.72,45.99,96.67,98.06,57.38,60.661,D
S1205,77.01,89.03,52.71,72.43,85.45,74.9885,C
S1206,64.69,45.2,57.63,76.41,74.63,64.408,D
S1207,95.31,57.54,70.98,63.19,81.72,74.5985,C
S1208,69.97,42.74,80.7,99.28,52.26,59.3165,F
S1209,82.54,86.88,50.41,52.76,57.1,66.9385,D
S1210,53.13,42.36,85.97,67.93,79.47,66.889,D
S1211,85.66,58.5,77.94,64.88,72.97,71.279,C
S1212,83.26,74.4,74.24,69.33,61.34,70.02,C
S1213,94.24,64.57,71.17,95.89,62.04,70.36,C
S1214,42.03,56.94,75.97,68.4,81.58,64.644,D
S1215,66.85,56.51,58.09,95.85,52.95,62.0185,D
S1216,80.75,87.87,55.44,71.17,71.71,74.931,C
S1217,45.71,98.44,64.48,92.74,76.16,75.9055,C
S1218,64.64,60.88,85.48,76.09,65.41,65.575,D
S1219,96.53,42.35,79.41,65.57,91.03,75.5145,C
S1220,66.16,42.19,74.01,72.47,52.84,58.897,F
S1221,99.12,85.55,78.58,71.22,93.29,83.8565,B
S1222,43.41,73.14,77.96,63,86.16,68.9235,D
S1223,83.07,87.02,65.35,64.48,72.31,74.839,C
S1224,74.86,81.85,54.87,59.32,96.22,76.14,C
S1225,70.03,94.45,94.84,66.8,85.11,81.971,B
S1226,98.25,93.15,80,81.22,96.55,87.547,B
S1227,47.78,87.3,84.89,69.33,73.63,75.5125,C
S1228,93.76,68.51,73.2,85.62,72.65,76.6785,C
S1229,81.47,58.49,87.82,99.35,76.54,73.483,C
S1230,55.54,70.42,79.22,68.86,53.27,65.071,D
S1231,94.1,70.12,52.69,73.13,95.42,78.9025,C
S1232,65.76,76.62,94.5,58.21,83.39,75.657,C
S1233,88.85,51.17,65.28,69.61,80.88,71.492,C
S1234,63.33,79.34,56.89,86.34,96.32,78.388,C
S1235,91.06,67.4,54.4,60.87,99.68,78.905,C
S1236,78.2,77.21,86.02,59.1,58.17,69.6415,D
S1237,48.46,54.38,85.2,68.82,87.45,69.266,D
S1238,78.98,66.06,85.01,90.93,79,75.3615,C
S1239,51.48,52.61,95.79,81.18,73.05,67.216,D
S1240,64.72,92.52,67.45,97.88,98.88,85.2475,B
S1241,50.22,69.28,78.06,95.23,92.51,78.573,C
S1242,41.32,53.5,80.97,57.56,84.84,65.9265,D
S1243,52.71,42.47,98.97,52.13,69.13,60.0565,D
S1244,72.18,80.54,65.62,69.95,83.3,72.825,C
S1245,68.89,52.88,97.82,76.1,76.58,73.0655,C
S1246,70.09,99.37,57.44,75.78,62.47,72.111,C
S1247,54.86,72.02,88.2,56.71,72.52,68.466,D
S1248,81.11,57.34,81.64,56.24,60.61,66.5595,D
S1249,82.26,79.46,90.84,52.34,75.02,78.295,C
S1250,61.48,56.51,51.43,92.54,86.01,69.861,D
S1251,92.87,89.22,53.91,97.39,51.83,70.48,C
S1252,78.64,58.49,53.48,55.78,88.27,68.4545,D
S1253,82.78,99.29,79.65,60.66,51,74.348,C
S1254,56.64,76.31,80.15,54.49,75.86,72.338,C
S1255,40.04,90.66,95.31,93.88,78.67,80.9515,B
S1256,91.92,44.37,73.38,97.94,88.06,74.6595,C
S1257,89.35,60.9,53.4,63.09,88.05,73.4765,C
S1258,47.39,84.25,60.48,65.18,70.87,65.257,D
S1259,62.45,79.3,50.4,68.13,53.32,60.9915,D
S1260,79.68,51.65,88.84,75.12,84.68,72.9665,C
S1261,79.13,61.37,90.78,84.12,75.55,76.786,C
S1262,91.62,55.81,99.9,75.22,66.65,70.2125,C
S1263,48.42,76.8,70.61,97.55,61.74,66.8715,D
S1264,65.8,60.67,50.96,54.99,55.99,59.6275,F
S1265,45.83,58.54,61.74,89.93,64.76,60.7265,D
S1266,63.38,52.44,79.39,66.72,72.92,64.1985,D
S1267,40.91,64.54,98.1,68.88,73.88,69.6885,D
S1268,93.9,51.73,55.18,85.44,79.14,71.3055,C
S1269,71.62,97.75,56.08,96.47,68.12,76.0355,C
S1270,90.99,49.27,85.09,85.81,95.99,80.8425,B
S1271,43.59,94.8,83.36,88.79,74.79,75.0735,C
S1272,53.65,65.71,62.53,87.54,71.19,68.5305,D
S1273,55.56,62.67,90.66,66.05,52.41,63.7085,D
S1274,63.2,53.88,56.44,87.85,79.95,66.026,D
S1275,88.17,78.15,96.29,89.23,80.14,84.2065,B
S1276,63.19,81.13,60.05,76.67,79.16,70.8485,C
S1277,52.28,68.05,54.07,76.84,94.38,69.618,D
S1278,43.9,43.34,66.98,87.99,88.15,67.361,D
S1279,44.77,95.11,59.39,90.85,93.37,76.9725,C
S1280,85.6,98.82,76.35,66.86,52.97,71.5945,C
S1281,66.69,65.86,84.34,90.08,65.91,69.8455,D
S1282,83.57,76.82,74.55,90.71,65.94,72.296,C
S1283,80.94,67.02,83.03,61.71,82.85,76.6915,C
S1284,48.12,59.31,68.25,85.85,72.43,67.212,D
S1285,48.57,44.64,51.4,59.33,88.87,61.1595,D
S1286,85.32,67.36,98.7,54.65,69.22,72.799,C
S1287,83.28,89.1,90.97,78.73,61.08,77.3045,C
S1288,62.68,41.02,53.67,95.43,64.55,57.7455,F
S1289,44.65,74.93,72.46,51.77,59.12,60.702,D
S1290,40.73,92.85,81.75,91.33,59.89,69.1895,D
S1291,57.29,53.05,59.53,75.32,60.84,58.7995,F
S1292,40.55,51,78.9,93.04,50.8,58.2715,F
S1293,53.8,86.34,76.68,92.17,85.8,80.764,B
S1294,65.17,55.31,60.41,93.76,69.98,66.7295,D
S1295,47.28,51.52,57.06,88.44,51.13,56.329,F
S1296,46.26,62.68,87.95,92.15,68.5,67.1065,D
S1297,93.79,63.55,66.13,58.8,95.27,78.7765,C
S1298,75.13,92.45,62.2,65.19,75.56,77.634,C
S1299,96.07,77.11,86.89,62.12,99.34,87.3955,B
S1300,60.75,64.36,86.8,87.12,77,70.2295,C
S1301,80.63,72.06,63.82,57.68,98.14,77.9125,C
S1302,52.28,97.24,93.63,59.11,60.09,73.3495,C
S1303,77.1,46.79,84.41,93.95,64.5,66.144,D
S1304,47.78,52.46,67.29,85.29,85,69.3645,D
S1305,40.12,97.75,71.37,93.77,99.34,81.795,B
S1306,95.89,97.44,86.34,56.97,91.26,85.8545,B
S1307,73.29,50.63,60.58,69.95,77.69,65.46,D
S1308,95.62,48.71,73.44,64.16,54.26,61.8455,D
S1309,60.03,65.27,82.68,50.48,68.22,67.858,D
S1310,59.67,42.98,76.97,64.23,54.32,56.16,F
S1311,64.04,79.29,80.42,68.98,65.56,70.1075,C
S1312,82.36,44.65,77.31,54.61,62.94,62.586,D
S1313,73.95,43.48,59.96,78.32,69.43,60.0225,D
S1314,95.52,69.11,70.51,69.16,91.86,80.441,B
S1315,41.53,97.47,76.6,52.32,57.52,68.415,D
S1316,82.49,65.61,89,85.2,65.3,72.606,C
S1317,59.82,61.39,82.7,86.46,63.06,69.0695,D
S1318,50.81,99.88,71.33,91.72,64.81,74.801,C
S1319,70.62,71.92,98.72,74.28,68.03,74.693,C
S1320,70.3,62.51,55.39,98.43,62.22,67.61,D
S1321,48.22,63.15,60.34,95.7,97.13,74.1105,C
S1322,52.11,51.7,67.07,77.57,71.01,62.022,D
S1323,64.49,70.73,61.43,72.25,55.71,60.6335,D
S1324,64.53,66.33,81.27,50.15,73.38,69.1215,D
S1325,59.05,56.25,51.98,85.55,59.22,61.863,D
S1326,48.91,49.63,58.87,78.25,60.81,56.9925,F
S1327,40.26,58.67,64.67,96.88,64.25,61.07,D
S1328,98.21,70.52,84.17,79.71,56.24,72.425,C
S1329,96.61,43.5,93.79,99.64,86.06,78.857,C
S1330,69.02,49.22,89.92,92.69,89.6,72.3,C
S1331,99.7,96.86,59.1,97.68,69.71,83.151,B
S1332,80.42,72.57,78.27,66.38,84.45,78.349,C
S1333,44.13,43.81,51.5,57.47,69.45,54.584,F
S1334,47.06,81.59,65.53,89.84,58.2,64.34,D
S1335,94.97,43.71,90.3,89.31,69.86,71.967,C
S1336,77.8,84.33,72.83,60.57,77.85,73.779,C
S1337,90.59,85,57.5,88.24,52.05,70.4425,C
S1338,93.9,79.06,71.93,79.1,82.72,77.8355,C
S1339,66.88,83.93,59.9,55.48,87.13,74.6315,C
S1340,42.91,45.28,69.66,75.09,93,65.2045,D
S1341,51.3,83.61,74.39,96.56,55.14,70.109,C
S1342,43.99,48.2,67.48,75.32,50,55.3025,F
S1343,51.32,60.37,96.85,89.43,53.66,67.349,D
S1344,64.63,96.56,78.13,51.45,96.21,80.852,B
S1345,47.09,70.17,92.14,86.4,88.28,73.861,C
S1346,50,98.05,88.04,97.34,91.77,84.6985,B
S1347,66.75,45.34,83.06,74.98,75.85,64.4745,D
S1348,60.41,68.65,74.84,66.89,76.34,67.931,D
S1349,68.06,43.74,50.11,82.33,64.93,59.3575,F
S1350,65.75,77.81,80.67,95.81,92.14,81.5985,B
S1351,78.67,44.72,67.8,58.84,91.49,66.6965,D
S1352,96.23,50.52,55.89,70.18,69.61,65.564,D
S1353,46.47,55.53,72.23,57.81,66.46,60.0565,D
S1354,45.96,84.92,86.78,74.83,86.92,76.04,C
S1355,91.17,49.84,98.08,77.02,51.31,68.3025,D
S1356,70.38,90.8,68.71,97.21,93,81.9895,B
S1357,85.98,47.91,77.14,70.63,72.31,66.4715,D
S1358,52.93,42.11,92.56,78.35,72.07,62.592,D
S1359,89.73,63.7,66.7,94.26,83.45,74.4355,C
S1360,95.43,98.77,57.11,66.07,82.29,83.2625,B
S1361,78.13,46.62,64.09,83.71,63.3,61.739,D
S1362,46.35,46.1,94.96,87.86,97.16,74.2705,C
S1363,93.72,85.07,57.97,66.53,99.32,82.61,B
S1364,87.55,58.73,66.46,58.22,76.3,69.676,D
S1365,85.05,83.04,73.23,75.15,78.07,80.078,B
S1366,42.2,52,92.36,67.84,77.72,67.509,D
S1367,87.94,67.6,96.89,63.32,74.29,73.5885,C
S1368,48.28,55.92,71.29,98.67,97.26,75.1855,C
S1369,53.34,67.09,96.6,75.11,62.24,67.7065,D
S1370,74.63,86.15,58.07,92.82,55.4,69.0945,D
S1371,55.9,85.72,57.84,59.77,96.48,76.772,C
S1372,79.68,70.95,97.46,96.97,60.65,76.9505,C
S1373,76.48,95.7,75.48,89.72,87.46,82.399,B
S1374,46.49,55.83,59.3,90.43,60.19,60.766,D
S1375,79.36,54.42,74.4,69.49,98.01,74.041,C
S1376,95.44,76.83,89.16,74.28,89.56,83.0935,B
S1377,49.67,77.28,91.35,79.67,95.94,81.592,B
S1378,75.82,42.79,93.2,89.49,97.55,76.9945,C
S1379,60.51,76.47,78.48,92.45,54.22,65.812,D
S1380,67.58,62.47,93.35,53.9,71.67,69.188,D
S1381,57.22,84.85,75.5,95.2,82.41,79.3135,C
S1382,61.25,88.49,80.35,96.87,90.12,82.7305,B
S1383,41.73,73.13,87.94,79.64,62.07,65.153,D
S1384,98.89,40.1,71.27,59.34,95.73,72.427,C
S1385,77.49,78.18,53.68,90.92,61.05,71.2475,C
S1386,70.04,84.93,67.51,77.43,93.31,80.891,B
S1387,63.02,54.94,81.2,90.86,75.64,70.796,C
S1388,72.36,67.88,59.62,90.74,75.77,72.502,C
S1389,62.81,97.94,57.42,54.34,68.7,69.0185,D
S1390,61.59,57.89,64.65,80.35,55.18,60.9075,D
S1391,67.84,53.39,51.61,74.16,67.35,60.766,D
S1392,56.56,52.65,87.17,97.31,71.34,66.55,D
S1393,50.8,73.53,62.94,64.83,73.95,65.1265,D
S1394,73.4,96.99,56.21,60.3,86.95,79.709,C
S1395,90.57,76.52,84.96,94.85,67.6,76.0295,C
S1396,49.17,58.2,92.15,57.44,70.33,64.151,D
S1397,41.96,78.31,50.99,84.33,95.3,71.968,C
S1398,54.81,77.49,61.68,65,87.63,69.88,D
S1399,98.78,75.82,97.26,78.39,51.14,73.852,C
S1400,89.73,49.57,69.26,80.81,90.6,75.332,C
S1401,75.75,78.07,96.93,70.87,99.5,82.4665,B
S1402,95.75,65.81,63.71,98.75,96.99,79.9085,C
S1403,66.72,41.12,60.9,56.59,91.8,66.222,D
S1404,99,72.39,60.71,69.57,81.46,76.419,C
S1405,57.78,99.36,54.26,71.52,63.91,71.546,C
S1406,54.42,60.98,94.82,81.55,82.72,71.752,C
S1407,78.28,97.93,98.99,70.36,84.78,87.563,B
S1408,62.69,45.77,97.73,54.85,64.08,62.6145,D
S1409,77.58,83.95,92.6,97.37,62.77,78.1325,C
S1410,58.3,46.86,92.34,70.8,69.85,62.806,D
S1411,77.08,56.41,83.05,67.13,82.06,70.478,C
S1412,56.54,74.25,91.31,72.34,64.65,71.234,C
S1413,43.06,75.57,60.42,60.83,77.78,64.9515,D
S1414,94.73,86.51,69.4,55.01,94.96,80.701,B
S1415,92.99,76.92,82.04,57.43,64.76,73.6405,C
S1416,98.25,75.62,93.74,58.33,98.3,85.7665,B
S1417,82.99,94.74,83.02,59.88,73.67,79.7155,C
S1418,80.96,67.13,91.95,71,55.05,69.424,D
S1419,73.54,53.52,73.7,81.19,52.75,61.91,D
S1420,47.56,49.71,85.87,81.44,66.93,63.135,D
S1421,51.35,64,99,50,62.94,67.0545,D
S1422,57.37,82.77,57.67,96.05,92.19,77.8805,C
S1423,93.41,42.55,96.35,91.14,86.88,77.3645,C
S1424,50.38,47.74,76.12,98.2,94.23,70.334,C
S1425,95.37,46.37,82.16,68,79.46,73.215,C
S1426,71.37,75.12,93.89,83.24,71.77,73.544,C
S1427,82.93,54.57,70.48,58.4,63.53,64.338,D
S1428,46.61,49.98,70.93,90.85,79.16,64.879,D
S1429,56.14,75.57,76.36,58.07,80.9,71.8645,C
S1430,97.51,85.68,50.96,66.3,69.65,73.0155,C
S1431,55.97,59.93,74.83,74.54,96.83,74.6955,C
S1432,57.79,74.69,64.55,79.73,82,69.6965,D
S1433,51.86,45.89,96.4,77.98,91.87,71.1005,C
S1434,47.74,96.11,54.39,55.1,81.02,73.318,C
S1435,54,60.21,72.97,71.08,65.83,62.205,D
S1436,78.54,99.85,97.37,96.15,86.83,87.278,B
S1437,67.32,98.72,95.05,93.62,61.51,79.3355,C
S1438,73.23,86.73,85.07,79.54,79.83,82.2155,B
S1439,47.34,41.2,79.47,78.62,70.12,58.5395,F
S1440,88.13,72.61,64.04,55.58,57.49,64.133,D
S1441,87.05,45.21,68.35,60.01,70.66,64.7865,D
S1442,41.3,93.71,54.51,62.63,65.51,64.965,D
S1443,63.01,87.38,89.31,74.41,55.61,70.867,C
S1444,44.13,98.34,66.19,86.57,91.19,81.302,B
S1445,87.53,76.5,83.39,73.04,74.93,75.541,C
S1446,84.24,71.33,67.88,56.3,67.32,70.0715,C
S1447,94.12,71.14,73.22,71.97,75.25,75.178,C
S1448,54.18,63.19,77.75,58.13,87.73,72.244,C
S1449,67.38,68.12,90.09,87.56,50.91,69.5445,D
S1450,51.07,78.12,60.56,58.33,77.34,67.7345,D
S1451,62.27,95.98,69.94,74.13,73.96,76.3525,C
S1452,71.33,75.75,56.5,84.67,94.65,78.704,C
S1453,43.2,91.43,53.79,61.41,77.8,68.482,D
S1454,82.89,91.77,80.23,53.8,56.87,70.9865,C
S1455,72.6,71.13,59.45,78.16,69.43,71.06,C
S1456,89.74,60.85,52.99,52.71,81.05,68.373,D
