Student_ID,Attendance (%),Study_Hours_per_Week,Sleep_Hours_per_Night,Extracurricular_Activities
S1185,61.54,15.7,4.7,Yes
S1186,92.44,14.4,8.8,No
S1187,56.96,25.4,7.1,No
S1188,79.01,9.5,4,Yes
S1189,94.41,9.4,8,No
S1190,73.68,18,4.4,No
S1191,87.33,22.2,7.5,Yes
S1192,90.23,5.6,7.1,Yes
S1193,86.82,18.6,4.3,Yes
S1194,96.27,12.5,6.7,Yes
S1195,72.34,23.9,4.2,Yes
S1196,58.66,16.7,4.3,Yes
S1197,52.39,25.9,4.3,Yes
S1198,62.32,14.9,5.3,Yes
S1199,57.16,25.7,8,No
S1200,77.9,22.9,5.8,Yes
S1201,59.25,25.7,7.2,Yes
S1202,51.95,25.3,4.6,No
S1203,51.8,17.2,8.7,Yes
S1204,91.58,14.2,6.5,Yes
S1205,79.57,24.1,4.1,Yes
S1206,67.9,14,6.7,Yes
S1207,94.71,7.2,4.9,No
S1208,53.51,26.5,5,Yes
S1209,99.02,14.9,7,Yes
S1210,80.81,8.3,5.1,Yes
S1211,59.17,21.2,5.1,Yes
S1212,83.95,27.2,6.7,No
S1213,88.17,26.5,5.2,Yes
S1214,71.47,18.9,4.6,No
S1215,93.08,7.2,6,Yes
S1216,57.54,22.4,4.3,No
S1217,63.94,20.2,8.5,Yes
S1218,54.67,10.3,6.3,Yes
S1219,60.54,27.5,4.1,No
S1220,61.94,7.2,5.1,Yes
S1221,95.88,14.3,8.8,Yes
S1222,53.91,7.4,6.5,No
S1223,71.37,27.8,5.8,Yes
S1224,76.62,5.9,5.6,Yes
S1225,94.93,15.6,6.1,Yes
S1226,99.88,26.5,5.1,No
S1227,87.67,11.3,7.7,No
S1228,98.54,7.6,6.5,Yes
S1229,89.36,8.2,7.8,No
S1230,98.16,15.1,5.3,No
S1231,85.36,15.7,4,No
S1232,53.99,23,8.8,No
S1233,70.1,10.9,6.6,Yes
S1234,82.33,22.5,4.4,Yes
S1235,67.54,30,4.5,No
S1236,63.67,26.6,6.2,No
S1237,78.87,20.9,7.5,Yes
S1238,96.68,28.5,6,No
S1239,51.75,29.8,8.1,Yes
S1240,88.46,19.3,5.6,Yes
S1241,86.14,11.8,4.2,Yes
S1242,98.2,27.9,4,Yes
S1243,96.54,26.1,8.3,Yes
S1244,88.11,7.1,8.9,Yes
S1245,76.02,28.4,4.7,Yes
S1246,60.21,14.2,4.3,Yes
S1247,77.26,13.1,8.6,No
S1248,88.27,13.6,4.5,Yes
S1249,94.78,13,5.1,No
S1250,89.49,17.9,8,No
S1251,59.76,19.5,9,No
S1252,79.98,15.6,6.4,No
S1253,66.61,15.3,5.1,No
S1254,50.46,23.4,8.2,Yes
S1255,60.01,5.1,6,Yes
S1256,55.66,28.7,5.4,Yes
S1257,92.14,22.9,6.5,No
S1258,62.93,22.7,8.3,Yes
S1259,64.23,15.5,5.2,No
S1260,98,29.1,6.1,Yes
S1261,68.95,5,6.2,No
S1262,50.48,6.9,8.2,No
S1263,64.19,25.1,7.4,No
S1264,55.96,23.5,7.9,Yes
S1265,55.14,11.8,7.5,No
S1266,53.87,19.9,7,Yes
S1267,79.66,18.3,4.7,Yes
S1268,59.47,18.2,8.2,No
S1269,68.06,19.9,7,No
S1270,93.1,29.8,7.5,Yes
S1271,71.22,29.7,7.9,No
S1272,95.78,29.5,5.6,Yes
S1273,74.9,18.7,6.2,Yes
S1274,69.94,13,6.7,Yes
S1275,87.52,19,5.7,Yes
S1276,53.66,20.6,5.3,No
S1277,54.47,12.8,7.9,No
S1278,82.6,20.8,7.8,Yes
S1279,74.35,20.5,8.2,No
S1280,89.52,27.6,7.5,No
S1281,95.81,10.9,5.6,No
S1282,69.42,22.4,5.6,Yes
S1283,79.82,16.3,6.6,Yes
S1284,75.03,8.2,8.2,Yes
S1285,99.08,12.9,5.7,Yes
S1286,91.55,6.4,7.8,No
S1287,95.59,13,5.5,Yes
S1288,62.72,6.7,5.7,Yes
S1289,88.63,28.1,7.8,No
S1290,63.27,7.5,7.4,Yes
S1291,60.44,25.4,5,Yes
S1292,97.21,27.7,8.1,Yes
S1293,50.97,16.7,7.9,Yes
S1294,98.27,6.3,8,Yes
S1295,57.46,19.9,6.4,No
S1296,90.97,10.9,5.6,No
S1297,63.8,9.4,8.2,Yes
S1298,67.54,19.2,6.9,No
S1299,60.84,13.9,8.7,No
S1300,79.28,23.3,5.3,No
S1301,67.4,19.8,8.9,Yes
S1302,82.87,25.7,5.9,No
S1303,50.78,6.5,5.9,No
S1304,53.22,10.9,5.2,No
S1305,54.98,19.2,8.8,No
S1306,70.95,27,4.2,Yes
S1307,90.74,25.3,6.4,Yes
S1308,94.41,22,5.8,No
S1309,62.24,19.4,4.8,No
S1310,78.72,20.8,7.6,Yes
S1311,88.42,10.3,8.5,Yes
S1312,64.44,19.9,5.2,No
S1313,70.45,17.3,6.5,No
S1314,76.2,14.6,6.9,No
S1315,56.74,27.2,6,No
S1316,51.3,25.7,8.6,No
S1317,57.64,6.9,6.3,Yes
S1318,81.34,29.6,8.9,Yes
S1319,53.68,10.7,5.5,No
S1320,59.48,10.4,4.4,No
S1321,66.89,28.6,6.9,Yes
S1322,53.89,16.1,8.1,No
S1323,59.58,25.1,5.9,Yes
S1324,95.56,12.2,4.9,No
S1325,50.96,26.8,7.7,No
S1326,82.67,25.8,5.4,Yes
S1327,69.22,18,7.8,Yes
S1328,83.63,22.6,5.3,No
S1329,79.43,29.1,6.8,Yes
S1330,61.17,16.3,8.4,Yes
S1331,92.36,17.4,5,Yes
S1332,74.6,23.1,8.1,No
S1333,91.13,14.7,5.3,No
S1334,70.3,29,7.3,Yes
S1335,99.23,6,5.2,No
S1336,88.52,15.1,4.6,Yes
S1337,98.3,22.8,7.3,Yes
S1338,75.72,15.7,7,Yes
S1339,73.68,11.5,6,Yes
S1340,87.77,15.3,4.2,Yes
S1341,94.01,27,6.4,No
S1342,98.21,18.7,4.7,No
S1343,66.23,13.4,5.8,No
S1344,89.94,21.8,6.9,No
S1345,60.53,20.3,8.7,Yes
S1346,77.28,19,6.6,No
S1347,58.99,14.8,5,Yes
S1348,67.37,6.8,8.7,Yes
S1349,96.57,20.5,4.1,Yes
S1350,57.3,15.5,7.2,No
S1351,81.62,15.7,5.3,No
S1352,79.65,10.9,7.8,Yes
S1353,56.04,11.2,5.7,No
S1354,66.3,24.7,6.1,No
S1355,78.15,17,7.9,Yes
S1356,59.36,7.7,8.5,No
S1357,90.03,6.1,4.9,No
S1358,98.61,10.6,5.5,No
S1359,60.74,17.2,4,Yes
S1360,59.35,20.4,8.3,Yes
S1361,72.75,8.6,8.7,No
S1362,87.39,15.8,5.4,No
S1363,64.08,6.8,5.9,No
S1364,50.99,5.9,6.1,No
S1365,77.06,26.6,6,No
S1366,97.83,21.5,6,No
S1367,69.56,24.5,6.4,Yes
S1368,71.01,9.5,4.8,No
S1369,98.45,13.1,4.3,Yes
S1370,84.73,16.1,7.6,No
S1371,85.96,21.5,8.2,Yes
S1372,78.14,18.4,8.1,Yes
S1373,98.73,18.8,7.1,Yes
S1374,84.44,8.9,8.8,No
S1375,94.75,16.9,4,Yes
S1376,84.97,25.6,5.6,Yes
S1377,86.76,17.7,5.6,Yes
S1378,64.52,10,5.7,Yes
S1379,65.17,15.3,8,No
S1380,89.15,23.9,5.8,Yes
S1381,64.84,8.4,6.6,Yes
S1382,78.14,19.5,7.1,Yes
S1383,62.47,29.1,8.2,Yes
S1384,90.85,14.5,7.1,Yes
S1385,55.53,6.1,5.9,No
S1386,91.47,20.8,7.5,Yes
S1387,80.14,6.2,6.6,No
S1388,59.35,9.8,6.6,No
S1389,77.1,6.2,5.7,Yes
S1390,64.12,9.3,4,No
S1391,66.17,26.4,5.8,No
S1392,67.58,23.4,5.5,Yes
S1393,53.17,13.5,4.5,Yes
S1394,99.3,27.4,5,Yes
S1395,51.58,21.6,8.9,No
S1396,83.12,16.2,5.4,Yes
S1397,68.56,6.7,6.6,No
S1398,82.3,23.3,6.7,Yes
S1399,67.81,14.4,6.8,Yes
S1400,83.69,12.6,4.2,No
S1401,86.46,12.2,7.9,Yes
S1402,84.53,5.2,7.7,No
S1403,55.7,23.6,8.9,No
S1404,82.84,8.6,4.9,Yes
S1405,64,18,6.8,No
S1406,51.44,5.4,8,Yes
S1407,70.74,20.7,4.6,Yes
S1408,71.68,14.2,7.9,Yes
S1409,73.36,20.8,5.3,No
S1410,85.24,7.2,5.4,No
S1411,65.44,11.7,8.7,No
S1412,65.76,7.8,5.6,Yes
S1413,53.03,21.2,6.9,Yes
S1414,84.34,7.7,6.2,Yes
S1415,78.39,20.4,4.4,No
S1416,67.47,8.4,8.8,No
S1417,85.26,28.6,5.1,Yes
S1418,76.87,15.4,5.3,Yes
S1419,73.46,8.2,5.9,No
S1420,75.57,6,6.5,No
S1421,81.82,13.2,4.7,No
S1422,83,27.3,7.1,No
S1423,64.45,8.6,6.6,Yes
S1424,57.04,24.8,5.5,No
S1425,57.83,15.4,7.5,No
S1426,81.97,25.1,6.6,Yes
S1427,93.64,26.9,8.2,Yes
S1428,70.47,29.9,8.3,Yes
S1429,58.48,6.7,8.9,Yes
S1430,87.83,24.9,4.3,No
S1431,91.62,6.7,6,Yes
S1432,94.03,12.9,6.5,No
S1433,80.34,21.2,5.2,No
S1434,93.04,16.2,8.6,No
S1435,50.77,19.1,4.4,Yes
S1436,55.36,29.2,6.1,Yes
S1437,54.63,25.5,4.9,No
S1438,85.63,14.1,7.4,No
S1439,53.48,20,7.5,Yes
S1440,74.82,6.2,8.4,Yes
S1441,73.64,16.3,6,No
S1442,65.54,20.2,7.9,Yes
S1443,93.52,22.9,6.7,Yes
S1444,58.52,27.5,8.1,No
S1445,67.62,12.1,4.4,Yes
S1446,88.71,27.6,6.3,No
S1447,51.52,21.5,4.8,Yes
S1448,83.65,6.9,8,No
S1449,90.82,14.5,4.8,No
S1450,96.61,16.9,4,Yes
S1451,93.81,13.8,8.6,Yes
S1452,65.97,7.9,6.4,Yes
S1453,79.32,18.8,8.9,No
S1454,53.86,8.3,6.3,Yes
S1455,62.89,27.9,7,No
S1456,54.71,26.6,7.7,No
S1457,65.76,16.9,5.4,Yes
S1458,93.76,6.7,4.7,No
S1459,67.36,18.8,7.3,No
S1460,78.09,19.8,6.6,No
S1461,71.67,27.2,8.1,Yes
S1462,72.95,6.7,4.2,Yes
S1463,98.48,22.3,6.7,Yes
S1464,64.81,19.1,4.9,Yes
S1465,81.37,9.4,7.1,Yes
S1466,71,8,7.8,Yes
S1467,53.06,22.3,5.3,Yes
S1468,74.47,13.5,6.4,Yes
S1469,90.67,30,6.1,No
S1470,54.94,27.4,7.8,No
S1471,53.48,19.1,7,Yes
S1472,57.68,21,4.6,No
S1473,88.22,9,8.9,No
S1474,86.2,27.4,8.6,Yes
S1475,78.25,16.5,6.9,Yes
S1476,73.41,18,7.9,Yes
S1477,94.42,26.8,4.1,Yes
S1478,88.33,5.2,5,Yes
S1479,90.6,17.4,7.8,Yes
S1480,90.66,20.7,4.5,Yes
S1481,82.14,9,4.2,No
S1482,72.9,6.7,7.1,Yes
S1483,93.23,18.4,4.2,No
S1484,96.3,18.7,4.9,No
S1485,51.19,13.3,4.4,Yes
S1486,52.58,27.1,6.7,Yes
S1487,97.94,12.5,7.4,No
S1488,63.86,17.9,4.9,Yes
S1489,93.67,9.7,6.3,No
S1490,69.44,5.3,4.1,No
S1491,55.96,15.7,5.3,No
S1492,54.02,18.2,4.9,No
S1493,57.83,24.1,4.8,No
S1494,62.49,16.2,5.1,Yes
S1495,74.43,12,8,No
S1496,85.07,20.1,8.7,No
S1497,99.32,14.5,7.5,Yes
S1498,72.08,10.8,4.4,No
S1499,75.91,27.8,7.1,Yes
S1500,76.09,18.4,7.7,Yes
S1501,76.97,10,4.6,No
S1502,75.89,21.8,5.5,Yes
S1503,50.44,25.1,6.1,No
S1504,50.09,24,5.6,No
S1505,54.88,20,6.6,No
S1506,55.08,18,4.7,No
S1507,85.24,24.4,6.2,No
S1508,60.25,22.7,7.7,Yes
S1509,94.74,19.3,6.3,Yes
S1510,96.43,21.4,5.1,No
S1511,98.79,9.2,8,No
S1512,96.95,5.5,6,No
S1513,63.59,28.3,6.1,No
S1514,75.49,28.4,5.8,Yes
S1515,58.77,24.7,5.4,No
S1516,90.31,14.3,7,No
S1517,94.42,8.8,4.9,Yes
S1518,92.56,13.9,7.8,Yes
S1519,71.67,23.2,6.4,Yes
S1520,87.93,13.4,8.4,Yes
S1521,54.88,24.9,8.7,Yes
S1522,52.01,21.8,5.9,No
S1523,87.66,20.7,4.8,No
S1524,71.27,28.3,6.5,No
S1525,99.78,27.3,5.4,No
S1526,54.86,22.8,6.1,Yes
S1527,92.78,10,5.9,Yes
S1528,74,28.5,6.3,Yes
S1529,91.36,10.7,6.5,Yes
S1530,90.86,14.3,7.1,Yes
S1531,95.8,25.7,4,No
S1532,64.89,10.2,5.3,No
S1533,97.49,21,4.9,No
S1534,57.58,16.4,7.6,Yes
S1535,54.1,20.6,8.2,No
S1536,71.58,29,7.6,No
S1537,91.42,25.2,8.9,No
S1538,73.67,12.4,4.4,Yes
S1539,91.46,6.4,6.3,Yes
S1540,86.48,29.2,8.5,Yes
S1541,60.47,19.6,5.6,No
S1542,97.44,9.3,8,No
S1543,53.04,20.7,6.8,Yes
S1544,94.91,6.1,8.9,No
S1545,65.22,9.7,5.9,No
S1546,75.01,20.8,6.1,No
S1547,71.12,15.1,4.8,No
S1548,58.59,13.1,4.8,Yes
S1549,67.91,21.4,8.3,No
S1550,59.65,26.7,6,Yes
S1551,60.19,22,7.1,Yes
S1552,59.35,16.6,7.8,No
S1553,74.45,21.5,6.2,Yes
S1554,89.9,22.4,8.8,Yes
S1555,78.45,24.4,8.7,No
S1556,94.66,12.7,7.4,Yes
S1557,81.83,7.9,9,No
S1558,84.47,22,4,No
S1559,83.38,8,4,No
S1560,72.47,16.6,4.3,No
S1561,84.47,10.8,8.7,No
S1562,53.49,13.3,7,Yes
S1563,92.99,16.8,8.6,Yes
S1564,88.89,27.4,4.6,Yes
S1565,62.26,22,4.2,Yes
S1566,88.4,9.3,6.7,No
S1567,50.63,27,4.9,Yes
S1568,60.86,17.5,8.3,Yes
S1569,53.26,10.1,6.1,No
S1570,89.01,18.2,7.9,No
S1571,87.79,9.8,6.6,Yes
S1572,90.68,14.2,6.6,No
S1573,50.22,25.1,7.4,No
S1574,75.06,21.5,5.7,Yes
S1575,85.24,16.9,8.7,Yes
S1576,57.77,10.7,6,Yes
S1577,82.49,12.1,6,No
S1578,54.21,29.5,7.5,Yes
S1579,59.07,13.6,7.2,Yes
S1580,73.79,20.4,9,Yes
S1581,82.68,17.5,8.3,Yes
S1582,57.29,5.6,5.4,Yes
S1583,59.26,28.6,4.5,Yes
S1584,60.22,7.2,4.5,Yes
S1585,61.94,21.5,5.8,Yes
S1586,61.33,25.3,6.4,No
S1587,69.76,23.7,7.2,No
S1588,82.69,25.2,8.3,No
S1589,71.9,23.5,8.9,No
S1590,88.8,16.1,6,No
S1591,85.96,27.4,6.7,Yes
S1592,56.33,27.8,7,Yes
S1593,52.44,15.9,6.8,Yes
S1594,93.9,17.1,4.5,No
S1595,53.99,17.1,4.6,No
S1596,57.42,12,8.4,Yes
S1597,51.11,7.9,7.4,No
S1598,81.42,11.5,7.4,Yes
S1599,79.12,26.1,8.1,Yes
S1600,99.35,18.6,4.4,No
S1601,94.35,26.3,6.1,Yes
S1602,70.54,23.6,5.2,No
S1603,68.58,13.7,7.3,Yes
S1604,64.84,9.6,5.1,Yes
S1605,57.62,19.2,7.5,No
S1606,56.9,28.4,5.9,No
S1607,56.61,26,6.2,No
S1608,55.71,24.1,8.1,No
S1609,62.03,24.1,5.7,Yes
S1610,65.33,18.2,5.3,Yes
S1611,98.08,9.2,8.3,Yes
S1612,78.92,12.1,7.4,No
S1613,99.38,19.4,6,Yes
S1614,68.62,12.9,6.5,No
S1615,72.88,24.5,5.7,Yes
S1616,66.23,14.3,6.8,No
S1617,59.14,7.8,4.7,Yes
S1618,57.16,24.6,8.4,Yes
S1619,97.25,22.5,6.8,Yes
S1620,99.34,11.3,5.9,No
S1621,52.25,29.5,6.9,No
S1622,57.52,15.1,4.8,Yes
S1623,71.18,22,4.4,Yes
S1624,59.32,27.8,6.7,Yes
S1625,68.19,8.9,4.4,No
S1626,56.45,27,7.3,Yes
S1627,72.83,22.6,8,Yes
S1628,63.58,9.2,8.9,No
S1629,67.6,21.6,7.8,Yes
S1630,54.72,26.9,8.9,No
S1631,71.41,25,4.1,No
S1632,99.16,24,6.8,Yes
S1633,66.44,9,4.8,Yes
S1634,93.82,9.8,5.2,No
S1635,92.16,18.7,7.7,Yes
S1636,97.6,19.5,5.3,No
S1637,89.51,28.6,4.9,No
S1638,82.98,16.7,5.9,Yes
S1639,92.83,12.6,4.4,Yes
S1640,53.78,9.8,4.7,Yes
S1641,73.14,6.4,4.7,No
S1642,99.46,6.7,5.1,Yes
S1643,88.48,19.4,8.4,No
S1644,98.1,9.4,5.5,No
S1645,88.98,26.3,5.4,No
S1646,93.74,19.9,4.6,No
S1647,85.33,26.6,4.1,Yes
S1648,88.03,15.7,4.8,No
S1649,76.16,19.9,7.6,No
S1650,96.21,18.1,8.8,No
S1651,91.25,29.7,7.7,Yes
S1652,92.19,24.9,8.3,No
S1653,83.65,19.9,7.9,Yes
S1654,65.23,20.2,5.5,Yes
S1655,51.78,11.2,7.7,No
S1656,96.78,23.4,7.8,No
S1657,79.31,29.6,5.3,Yes
S1658,64.91,8.2,8.6,No
S1659,57.46,20.9,9,No
S1660,91.48,17.9,6.8,Yes
S1661,91.83,26.3,5.6,Yes
S1662,90.73,5,5.8,Yes
S1663,82.25,8.4,6.9,Yes
S1664,68.3,5.9,4,No
S1665,65.2,9.1,5.5,Yes
S1666,50.43,22.7,4.2,Yes
S1667,91.68,8.5,7.1,No
S1668,54.37,20.6,7,Yes
S1669,81.54,26.7,7,No
S1670,75.2,5.9,4.8,Yes
S1671,76.33,5.7,8.7,Yes
S1672,96.34,29.7,6.7,No
S1673,51.58,21.8,6.8,No
S1674,88.67,8.5,6.7,Yes
S1675,52.6,12.7,6.6,Yes
S1676,51.91,29.6,8.7,Yes
S1677,71.49,10.7,7,Yes
S1678,53.15,23.8,6.4,Yes
S1679,89.46,11,7.8,No
S1680,76.48,15,5.3,Yes
S1681,51.45,27,5,No
S1682,52.03,5.7,6.2,Yes
S1683,80.63,12.7,4.1,No
S1684,90.31,17.2,5.5,Yes
S1685,71.89,20.6,6.1,No
S1686,77.73,5.7,6.9,Yes
S1687,89.99,15.3,6.7,Yes
S1688,80.53,13.6,5.8,No
S1689,61.24,5.7,5.7,No
S1690,80.65,13.9,4,Yes
S1691,81.41,28.3,8.4,No
S1692,86.71,11.9,5.2,No
S1693,81.04,19.6,5.8,Yes
S1694,98.46,12.5,4.1,No
S1695,59.86,7.7,8.8,No
S1696,97.55,12.2,6.5,Yes
S1697,76.92,16.8,4.1,No
S1698,83.6,12.4,5.3,Yes
S1699,54.97,20.6,8.4,Yes
S1700,69.03,28.7,5.9,No
S1701,88.47,6.7,7.4,No
S1702,85.35,22.9,7.1,No
S1703,52.01,5,6.4,No
S1704,77.33,5,8.2,No
S1705,54.41,8.3,4.2,Yes
S1706,99.79,17,8.6,No
S1707,94.86,6.2,7.6,No
S1708,51.05,23.1,8.3,Yes
S1709,92.93,5.7,4.1,No
S1710,95.97,17.4,4.4,No
S1711,67.68,21.9,5,Yes
S1712,85.98,10.9,7,No
S1713,72.11,19.5,4.5,Yes
S1714,82.76,11.5,8.7,No
S1715,67.02,10.4,7.7,No
S1716,66.13,25.5,8,No
S1717,71.22,13.3,6.9,Yes
S1718,57.28,25.3,7.2,Yes
S1719,91.56,10.4,5.1,Yes
S1720,67.43,13.9,8.6,No
S1721,70.01,7.6,7.2,Yes
S1722,94.7,17.4,6.1,Yes
S1723,74.83,14.5,8.4,No
S1724,77.21,5.1,8.3,No
S1725,97.82,16.6,4,Yes
S1726,94.34,6.9,8.6,No
S1727,58.47,25.9,5.8,No
S1728,73.66,17.3,6.1,Yes
S1729,98.56,22.3,4.4,No
S1730,68.62,25.5,8.4,No
S1731,68.58,6.3,6.7,No
S1732,59.75,13.4,8.5,Yes
S1733,55.72,5.6,7.9,No
S1734,87.02,6.2,8.5,No
S1735,88.5,5.9,8.7,Yes
S1736,98.45,16.9,8.4,No
S1737,88.67,16.3,5,No
S1738,62.17,6.5,4.4,No
S1739,52.01,11.6,7.1,Yes
S1740,99.27,11.1,4.8,No
S1741,67.02,12.4,8.3,Yes
S1742,65.6,21,8.7,No
S1743,95.3,22.4,4.6,No
S1744,79.25,13.5,5.2,Yes
S1745,60.74,24.7,7.1,Yes
S1746,94.45,15.4,7.6,Yes
